Statistical profiling result from isolate-0xedfe647d540-v8.log, (113727 ticks, 6288 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: ~writeInt32BE internal/buffer.js:723:22
      1    0.0%    0.0%  LazyCompile: ~wrapfunction /home/john/Projects/Torn.Space/node_modules/depd/index.js:397:23
      1    0.0%    0.0%  LazyCompile: ~validateAsyncId internal/async_hooks.js:112:25
      1    0.0%    0.0%  LazyCompile: ~updateQuestsB /home/john/Projects/Torn.Space/app.js:3138:23
      1    0.0%    0.0%  LazyCompile: ~updateChildren internal/modules/cjs/loader.js:95:24
      1    0.0%    0.0%  LazyCompile: ~startLoop /home/john/Projects/Torn.Space/node_modules/ws/lib/receiver.js:114:12
      1    0.0%    0.0%  LazyCompile: ~shift internal/fixed_queue.js:104:8
      1    0.0%    0.0%  LazyCompile: ~resolve path.js:971:10
      1    0.0%    0.0%  LazyCompile: ~removeAt internal/priority_queue.js:88:11
      1    0.0%    0.0%  LazyCompile: ~readSync fs.js:490:18
