Statistical profiling result from isolate-0x2c25004c000-v8.log, (5086 ticks, 69 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: ~deletePlayers /home/john/Projects/Torn.Space/app.js:3619:23
      1    0.0%    0.0%  LazyCompile: ~decompress /home/john/Projects/Torn.Space/node_modules/ws/lib/receiver.js:357:13
      1    0.0%    0.0%  LazyCompile: ~decodeString /home/john/Projects/Torn.Space/node_modules/socket.io-parser/index.js:276:22
      1    0.0%    0.0%  LazyCompile: ~debug internal/util/debuglog.js:45:35
      1    0.0%    0.0%  LazyCompile: ~createWriteWrap internal/stream_base_commons.js:83:25
      1    0.0%    0.0%  LazyCompile: ~copy buffer.js:625:16
      1    0.0%    0.0%  LazyCompile: ~consume /home/john/Projects/Torn.Space/node_modules/ws/lib/receiver.js:79:10
      1    0.0%    0.0%  LazyCompile: ~compareTimersLists internal/timers.js:379:28
      1    0.0%    0.0%  LazyCompile: ~clearTimeout timers.js:160:22
      1    0.0%    0.0%  LazyCompile: ~afterTransform _stream_transform.js:78:24
      1    0.0%    0.0%  LazyCompile: ~adjustOffset buffer.js:988:22
      1    0.0%    0.0%  LazyCompile: ~addChunk _stream_readable.js:292:18
      1    0.0%    0.0%  LazyCompile: ~addBufferPrototypeMethods internal/buffer.js:790:35
      1    0.0%    0.0%  LazyCompile: ~_unrefTimer net.js:340:52
      1    0.0%    0.0%  LazyCompile: ~_compress /home/john/Projects/Torn.Space/node_modules/ws/lib/permessage-deflate.js:402:12
      1    0.0%    0.0%  LazyCompile: ~Transform.push _stream_transform.js:146:36
      1    0.0%    0.0%  LazyCompile: ~TickObject internal/process/task_queues.js:92:14
      1    0.0%    0.0%  LazyCompile: ~PriorityQueue internal/priority_queue.js:15:14
      1    0.0%    0.0%  LazyCompile: ~Object.keys.forEach /home/john/Projects/Torn.Space/node_modules/ws/lib/permessage-deflate.js:244:35
      1    0.0%    0.0%  LazyCompile: ~Module._resolveFilename internal/modules/cjs/loader.js:634:35
      1    0.0%    0.0%  LazyCompile: ~Mime.define /home/john/Projects/Torn.Space/node_modules/mime/mime.js:21:34
      1    0.0%    0.0%  LazyCompile: ~Encoder.encode /home/john/Projects/Torn.Space/node_modules/socket.io-parser/index.js:128:36
      1    0.0%    0.0%  LazyCompile: ~Decoder.add /home/john/Projects/Torn.Space/node_modules/socket.io-parser/index.js:239:33
      1    0.0%    0.0%  LazyCompile: ~Base64Id.generateId /home/john/Projects/Torn.Space/node_modules/base64id/lib/base64id.js:80:42
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /home/john/Projects/Torn.Space/node_modules/engine.io/lib/transports/polling.js:246:63
